# HORUS dC_L Elevon
#
#

3
0	0.087266463	0.174532925	0.261799388	0.34906585	0.436332313	0.523598776	0.610865238	0.698131701	0.785398163
1.2	1.5	2	3	5	10	20
-0.698131701	-0.523598776	-0.34906585	-0.174532925	0	0.174532925	0.34906585	0.523598776	0.698131701

-0.089	-0.053	-0.036	-0.025	-0.019	-0.016	-0.013
-0.095	-0.055	-0.035	-0.023	-0.016	-0.013	-0.009
-0.096	-0.055	-0.034	-0.021	-0.014	-0.011	-0.007
-0.096	-0.054	-0.033	-0.021	-0.013	-0.011	-0.006
-0.095	-0.054	-0.034	-0.021	-0.014	-0.011	-0.007
-0.092	-0.054	-0.035	-0.023	-0.017	-0.014	-0.011
-0.079	-0.048	-0.034	-0.025	-0.02	-0.019	-0.015
-0.063	-0.041	-0.032	-0.025	-0.023	-0.022	-0.019
-0.047	-0.034	-0.029	-0.026	-0.025	-0.026	-0.022
-0.034	-0.028	-0.026	-0.026	-0.026	-0.028	-0.026
						
-0.077	-0.043	-0.027	-0.017	-0.011	-0.008	-0.005
-0.082	-0.045	-0.027	-0.015	-0.009	-0.006	-0.003
-0.082	-0.045	-0.027	-0.015	-0.008	-0.005	-0.002
-0.08	-0.045	-0.027	-0.016	-0.01	-0.007	-0.004
-0.069	-0.04	-0.026	-0.017	-0.011	-0.011	-0.007
-0.056	-0.035	-0.024	-0.018	-0.015	-0.013	-0.011
-0.043	-0.029	-0.022	-0.019	-0.018	-0.018	-0.015
-0.034	-0.025	-0.021	-0.021	-0.02	-0.021	-0.019
-0.028	-0.022	-0.021	-0.021	-0.022	-0.023	-0.021
-0.02	-0.019	-0.02	-0.021	-0.021	-0.023	-0.022
						
-0.063	-0.034	-0.021	-0.011	-0.005	-0.002	0
-0.065	-0.035	-0.021	-0.011	-0.005	-0.002	0
-0.055	-0.031	-0.019	-0.011	-0.006	-0.003	-0.002
-0.044	-0.026	-0.016	-0.011	-0.007	-0.006	-0.004
-0.033	-0.021	-0.015	-0.011	-0.01	-0.009	-0.007
-0.027	-0.019	-0.014	-0.013	-0.012	-0.012	-0.011
-0.022	-0.018	-0.015	-0.014	-0.014	-0.015	-0.013
-0.02	-0.016	-0.015	-0.015	-0.016	-0.016	-0.015
-0.013	-0.013	-0.014	-0.015	-0.015	-0.016	-0.016
-0.007	-0.01	-0.012	-0.014	-0.014	-0.016	-0.015
						
-0.036	-0.02	-0.011	-0.006	-0.002	-0.001	0
-0.03	-0.016	-0.01	-0.005	-0.002	-0.001	0
-0.019	-0.011	-0.007	-0.005	-0.003	-0.003	-0.002
-0.024	-0.01	-0.007	-0.005	-0.004	-0.005	-0.003
-0.014	-0.01	-0.007	-0.007	-0.006	-0.007	-0.005
-0.012	-0.01	-0.008	-0.008	-0.007	-0.008	-0.007
-0.01	-0.009	-0.008	-0.008	-0.008	-0.009	-0.008
-0.007	-0.007	-0.007	-0.008	-0.008	-0.009	-0.008
-0.004	-0.005	-0.006	-0.008	-0.007	-0.008	-0.008
0	-0.003	-0.004	-0.006	-0.006	-0.008	-0.007
						
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
						
0.019	0.011	0.006	0.004	0.003	0.002	0.001
0.015	0.009	0.006	0.005	0.005	0.004	0.003
0.014	0.009	0.007	0.006	0.006	0.006	0.005
0.012	0.009	0.008	0.007	0.008	0.007	0.007
0.01	0.008	0.007	0.008	0.008	0.008	0.008
0.007	0.006	0.007	0.007	0.008	0.008	0.008
0.004	0.004	0.005	0.006	0.008	0.007	0.008
0	0.002	0.004	0.005	0.006	0.006	0.007
-0.005	0	0.002	0.004	0.004	0.005	0.005
-0.009	-0.003	0	0.002	0.002	0.003	0.003
						
0.032	0.02	0.014	0.01	0.009	0.009	0.006
0.026	0.018	0.014	0.012	0.012	0.011	0.01
0.023	0.017	0.015	0.014	0.014	0.014	0.013
0.019	0.015	0.015	0.015	0.015	0.016	0.015
0.013	0.013	0.013	0.014	0.015	0.016	0.016
0.007	0.009	0.011	0.013	0.014	0.014	0.015
0	0.004	0.008	0.01	0.011	0.012	0.013
-0.009	-0.001	0.004	0.007	0.008	0.01	0.01
-0.018	-0.007	-0.001	0.002	0.004	0.006	0.005
-0.027	-0.012	-0.007	-0.003	-0.001	0.002	0
						
0.042	0.027	0.021	0.018	0.017	0.018	0.014
0.033	0.024	0.021	0.02	0.02	0.02	0.018
0.027	0.021	0.021	0.021	0.021	0.021	0.02
0.019	0.018	0.019	0.02	0.021	0.022	0.021
0.009	0.012	0.015	0.017	0.02	0.021	0.021
-0.002	0.006	0.011	0.014	0.016	0.018	0.018
-0.014	-0.002	0.004	0.009	0.011	0.013	0.013
-0.026	-0.011	-0.002	0.002	0.005	0.008	0.007
-0.039	-0.02	-0.011	-0.004	-0.002	0	0.001
-0.051	-0.028	-0.018	-0.012	-0.01	-0.01	-0.006
						
0.046	0.032	0.027	0.025	0.024	0.024	0.022
0.033	0.027	0.025	0.024	0.026	0.026	0.025
0.023	0.021	0.022	0.022	0.026	0.027	0.026
0.011	0.015	0.019	0.021	0.024	0.026	0.025
-0.004	0.006	0.012	0.016	0.02	0.021	0.021
-0.02	-0.003	0.005	0.01	0.013	0.016	0.016
-0.033	-0.014	-0.004	0.002	0.005	0.008	0.009
-0.051	-0.025	-0.013	-0.007	-0.003	-0.002	0
-0.065	-0.036	-0.022	-0.015	-0.012	-0.013	-0.008
-0.079	-0.046	-0.032	-0.024	-0.021	-0.023	-0.017
