20191202_201709_20191202_205056_2027894_694.000000_80354.229542_54.156423_-45.550711_47.190218_4.278812_0.012939,1,13,13,0,1686,4.62249488598172,291.336059434468,928.23437390858,4845.56723002968,73462.8668047297,10209.0809152816,0.395277418689247,1150.09264340847,8.00437536205436e-07,0.933343736330871,0.823783860458833,0.773991561514445,0.596765342705314,0.184693514287467,0.917426099542143,38.5646161938905,2.47421105208728,8.80921034588279,37.43667554128,36.7278601420332,35.4732870917437,14.7484175164032,0.96237504204474,0.651727456463289,0.847254327275055,0.662029440596214,0.212622150652765,0.805852952569459,0.735253559625357
20191202_201709_20191202_205532_2303036_729.000000_260520.178393_54.761291_-42.286648_50.752348_3.476927_0.000000,1,72,72,0,1903,5.24402021579621,291.336025532335,973.838768249662,5960.00582392375,93636.3408809514,28562.2650248789,0.257800325131114,1391.27594552146,1.62464221324845e-07,0.591805503446872,0.790860002414213,0.155559978605646,0.617163974471317,0.0317124241568261,0.83372878717381,24.2488114864167,28.6695234298395,6.70397782120436,28.597488535589,39.3321363386219,36.263447207547,24.3077915432287,0.77939750006518,0.90314304444084,0.888314989518971,0.263937745164749,0.716642154805885,0.452293868596504,0.3235469761397
20191202_201709_20191202_213545_4716726_677.000000_76679.809588_54.378510_-44.066192_48.781298_5.260573_0.013116,1,35,35,0,3945,2.41433536135646,291.336006037158,1012.23836523209,4009.56377377952,110213.838666917,6723.34538173972,0.395447148418939,1130.60155709306,9.02906968858038e-07,0.326805198611124,0.820868523833962,0.0909411206688769,0.10399570964926,0.160352444122966,0.324986384585179,7.53224583466577,27.79013955049,21.1745326414692,22.6879584603675,11.6133150815477,29.4483464075649,10.8577618116329,0.972672700826634,0.755474119401164,0.816131581529126,0.38616567520377,0.573659768518274,0.382196452728393,0.635673990252542
20191202_201709_20191202_213558_4729479_638.000000_68547.124872_54.195251_-44.729757_48.015915_2.477016_0.109275,1,23,23,0,3954,6.19492224372339,291.336017138407,916.92831172099,6792.73345304415,78547.2767279322,4882.16878836308,0.384697407591477,951.252037636432,6.91003936472495e-07,0.0152465491545419,0.995405701581735,0.435344062874622,0.55324011898849,0.698600539283556,0.839555851625539,17.1675149488952,19.8325678540506,18.5867967191977,8.9505589160553,13.3514933986249,26.8905921480107,25.2498850964316,0.42822870182414,0.90204589495956,0.772238852794166,0.598698483589901,0.55331087799515,0.584301652951433,0.237515756814295
20191202_201709_20191202_220425_6436171_726.000000_69138.152710_54.830722_-41.994568_51.078100_2.562705_0.115893,1,81,81,0,5408,3.4687995525706,291.336095056896,875.790585942015,4541.73154259582,120259.47719744,8253.2691473108,0.393273764019913,687.260907225182,5.96938100992209e-07,0.069011132135417,0.493147231226519,0.421209138081981,0.955965411160982,0.356407004823676,0.835521348686081,16.2145090496721,20.2308387996781,17.1867588254381,4.97814293183666,14.5333691864499,15.3849635512707,22.2879870106683,0.833753473447981,0.621334531871969,0.634796526465569,0.783523324657231,0.974981920033692,0.856225346963254,0.265753369356129
20191202_201709_20191202_225251_9341982_724.000000_99696.193119_54.022867_-46.465168_46.211205_8.822787_0.000315,1,6,6,0,7886,3.55500742663676,291.336012385621,993.608742439119,5912.22232441814,133855.718773753,3960.40741759259,0.389901090793379,1077.3372436483,3.60332398011714e-07,0.923240019894386,0.855939061144314,0.899604358240102,0.951883484356725,0.862597056382496,0.64171949029115,25.3276912924212,35.352980677581,4.93178512928601,5.43242395987323,19.4811721518894,4.94932464884182,23.2858493606743,0.666377539955159,0.785190227925396,0.863591706875235,0.66165233946168,0.25396433666384,0.459934923902327,0.530578229369043
20191202_201709_20191202_225401_9412663_703.000000_70875.656334_54.415459_-44.414618_48.465618_2.989148_0.045062,1,30,30,0,7951,2.03702204118311,291.336000164083,836.846663578474,4193.79254806587,188041.281441855,17841.7711377151,0.379918361601556,1013.41861312023,1.07756819769192e-07,0.86116709723695,0.526535096941311,0.509089964795704,0.257721524556153,0.969886156746693,0.362848227958806,21.129416914086,33.7198937616457,24.4334194402987,3.06322016454023,27.9791960081697,10.5965682208948,13.2356885820221,0.601986408327675,0.679404242360721,0.789955065360349,0.640578325064329,0.901585143115873,0.718964154883289,0.693288197151573
20191202_201709_20191202_231326_10577850_718.000000_92776.920870_54.414031_-44.300755_48.575414_17.067522_0.001630,1,33,33,0,8939,3.10023744142109,291.336009642398,765.630606863786,6415.14321417718,119480.066695154,241.852302071512,0.394884893781173,748.695594522885,4.33559042226739e-07,0.491583420419242,0.309885852400728,0.577781385156025,0.0674905004862707,0.266960112104317,0.716988559384335,19.853999967995,18.9416300083437,14.7529891772553,19.0605534202694,32.5967977316058,13.3658679101982,13.4312787046284,0.57890634619368,0.596423687038706,0.753067706763353,0.548091300491227,0.846275705847909,0.998296035622727,0.3517677573356
20191202_201709_20191202_233914_12125278_712.000000_80361.349733_54.216192_-45.468457_47.310426_3.639913_0.025669,1,15,15,0,10223,7.56701582890541,291.336049474676,918.25102649257,3382.34873164268,124240.036366298,7133.16789081407,0.382194691947624,1328.73547794302,2.83714589850211e-08,0.882663851711403,0.576468275895141,0.868347819713901,0.789809163153743,0.341233990414061,0.373510748926058,20.7379097978023,36.777873875027,27.5550901813173,37.6950865408538,33.0613773371207,24.4382356478309,22.7128207412795,0.92359221357287,0.784398136747449,0.334732321336721,0.849833488652708,0.272282616891846,0.604533334720395,0.643805737336455
20191202_201709_20191203_001442_14253801_804.000000_88146.558632_54.516549_-44.652058_48.301691_4.552394_0.006565,1,26,26,0,11785,7.97631219754082,291.33604618239,902.470642218079,5314.38903149169,100530.286636434,3430.99588509737,0.393555740197577,1332.68873460108,6.26657271450027e-07,0.295976175372447,0.222373440045795,0.699209499450384,0.75987411186552,0.932767929661259,0.288736358062225,24.5223432912931,13.35120770775,20.0792606627395,22.3276921160343,25.3818591595019,14.4150570407299,25.444489377159,0.544632701821155,0.97473698136752,0.716025481278437,0.232239279911695,0.76278321878087,0.481690598683588,0.785571045380186
