 # HORUS dC_m Elevon
#
#

3
0	0.087266463	0.174532925	0.261799388	0.34906585	0.436332313	0.523598776	0.610865238	0.698131701	0.785398163
1.2	1.5	2	3	5	10	20
-0.698131701	-0.523598776	-0.34906585	-0.174532925	0	0.174532925	0.34906585	0.523598776	0.698131701

0.0263	0.0155	0.0104	0.0072	0.0055	0.0044	0.0036
0.0278	0.0159	0.0102	0.0065	0.0044	0.0034	0.0024
0.0283	0.0159	0.0099	0.006	0.0039	0.0029	0.0017
0.029	0.0162	0.0101	0.006	0.0041	0.0029	0.0017
0.0304	0.0169	0.0108	0.0065	0.0046	0.0034	0.0022
0.0314	0.0181	0.0116	0.0075	0.0056	0.0046	0.0036
0.0304	0.0176	0.0121	0.0085	0.0073	0.0061	0.0053
0.0294	0.0176	0.0126	0.0097	0.0087	0.008	0.007
0.0285	0.0181	0.0135	0.0111	0.0106	0.0101	0.0087
0.0287	0.0188	0.0147	0.0125	0.0123	0.0121	0.0109
						
0.0234	0.0131	0.0082	0.0048	0.0031	0.0019	0.0014
0.0246	0.0135	0.008	0.0044	0.0026	0.0014	0.0005
0.0251	0.0137	0.0082	0.0044	0.0024	0.0014	0.0003
0.0258	0.0142	0.0087	0.0049	0.0031	0.0019	0.0012
0.0239	0.0135	0.0085	0.0053	0.0039	0.0029	0.0022
0.0224	0.0131	0.0089	0.0063	0.0049	0.0044	0.0036
0.0208	0.0128	0.009	0.007	0.0067	0.0061	0.0053
0.0208	0.0131	0.0101	0.0082	0.008	0.0077	0.007
0.0215	0.0142	0.0111	0.0097	0.0096	0.0094	0.0085
0.022	0.015	0.0121	0.0109	0.0111	0.0108	0.0099
						
0.0193	0.0104	0.0061	0.0031	0.0015	0.0003	0.0002
0.0203	0.0111	0.0063	0.0031	0.0014	0.0003	-0.0002
0.0179	0.0097	0.006	0.0031	0.0015	0.0008	0.0002
0.0155	0.0087	0.0056	0.0032	0.0024	0.0017	0.0012
0.0135	0.008	0.0055	0.0037	0.0032	0.0029	0.0022
0.0133	0.0082	0.006	0.0046	0.0043	0.0043	0.0036
0.0137	0.0087	0.0067	0.0055	0.0055	0.0051	0.0049
0.0142	0.0094	0.0075	0.0065	0.0065	0.0061	0.0058
0.0145	0.0099	0.0084	0.0075	0.0075	0.0073	0.0068
0.0147	0.0104	0.0085	0.0078	0.0082	0.0082	0.0077
						
0.0114	0.006	0.0034	0.0015	0.0007	-0.0002	0
0.0094	0.0051	0.0029	0.0014	0.0007	0.0002	-0.0002
0.0068	0.0036	0.0024	0.0014	0.0008	0.0008	0.0002
0.0061	0.0034	0.0024	0.0017	0.0015	0.0015	0.0012
0.0063	0.0039	0.0029	0.0022	0.0022	0.0019	0.0017
0.0067	0.0043	0.0032	0.0027	0.0031	0.0026	0.0022
0.0068	0.0046	0.0037	0.0032	0.0034	0.0031	0.0027
0.007	0.0048	0.0041	0.0036	0.0037	0.0034	0.0034
0.0072	0.0051	0.0041	0.0039	0.0043	0.0039	0.0037
0.0068	0.0049	0.0046	0.0041	0.0044	0.0044	0.0041
						
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
						
-0.0067	-0.0039	-0.0022	-0.0015	-0.0012	-0.0012	-0.0005
-0.0058	-0.0036	-0.0024	-0.0019	-0.0017	-0.0019	-0.0015
-0.0062	-0.0039	-0.0029	-0.0024	-0.0022	-0.0022	-0.0022
-0.0063	-0.0043	-0.0033	-0.0029	-0.0029	-0.0029	-0.0026
-0.0065	-0.0045	-0.0036	-0.0036	-0.0033	-0.0034	-0.0033
-0.0065	-0.0046	-0.0038	-0.0038	-0.0038	-0.0038	-0.0036
-0.0063	-0.0048	-0.0043	-0.0041	-0.0041	-0.0043	-0.0041
-0.0062	-0.0048	-0.0043	-0.0043	-0.0041	-0.0045	-0.0043
-0.0062	-0.0046	-0.0043	-0.0043	-0.0043	-0.005	-0.0045
-0.0056	-0.0045	-0.0041	-0.0043	-0.0041	-0.0055	-0.0045
						
-0.012	-0.0072	-0.0051	-0.0039	-0.0033	-0.0036	-0.0024
-0.0113	-0.0072	-0.0056	-0.0046	-0.0043	-0.0045	-0.0038
-0.0115	-0.0079	-0.0062	-0.0055	-0.0055	-0.0055	-0.005
-0.0116	-0.0082	-0.007	-0.0063	-0.0063	-0.0063	-0.006
-0.0118	-0.0086	-0.0074	-0.0072	-0.007	-0.007	-0.0068
-0.0116	-0.0087	-0.0077	-0.0075	-0.0075	-0.0079	-0.0074
-0.0113	-0.0087	-0.0079	-0.0079	-0.0077	-0.0086	-0.0079
-0.0104	-0.0084	-0.0079	-0.0079	-0.0079	-0.0092	-0.0082
-0.0097	-0.008	-0.0075	-0.0075	-0.0077	-0.0104	-0.008
-0.0086	-0.0074	-0.007	-0.0072	-0.0072	-0.0121	-0.0077
						
-0.0166	-0.0106	-0.008	-0.0067	-0.0062	-0.0063	-0.0053
-0.0156	-0.0106	-0.0086	-0.0077	-0.0077	-0.0077	-0.007
-0.0157	-0.0111	-0.0092	-0.0086	-0.0087	-0.0087	-0.0084
-0.0156	-0.0116	-0.0097	-0.0097	-0.0097	-0.0101	-0.0094
-0.0152	-0.0116	-0.0104	-0.0103	-0.0104	-0.0111	-0.0104
-0.0145	-0.0115	-0.0106	-0.0106	-0.0108	-0.012	-0.0109
